N.Suh	MIA	13
B.Browner	NO	12
J.Hughes	BUF	10
M.Remmers	CAR	8
D.Kirkpatrick	CIN	8
D.Free	DAL	8
L.Johnson	PHI	8
J.Barksdale	SD	8
K.Ealy	CAR	7
P.Rivers	SD	7
